component_name,component_group_name,meta_value,ID_11_rep1,ID_11_rep2,ID_13_rep1,ID_13_rep2,ID_15_rep1,ID_15_rep2,ID_17_rep1,ID_17_rep2,ID_19_rep1,ID_19_rep2,ID_1_rep1,ID_1_rep2,ID_21_rep1,ID_21_rep2,ID_23_rep1,ID_23_rep2,ID_25_rep1,ID_25_rep2,ID_27_rep1,ID_27_rep2,ID_29_rep1,ID_29_rep2,ID_31_rep1,ID_31_rep2,ID_33_rep1,ID_33_rep2,ID_35_rep1,ID_35_rep2,ID_37_rep1,ID_37_rep2,ID_39_rep1,ID_39_rep2,ID_3_rep1,ID_3_rep2,ID_41_rep1,ID_41_rep2,ID_43_rep1,ID_43_rep2,ID_45_rep1,ID_45_rep2,ID_47_rep1,ID_47_rep2,ID_49_rep1,ID_49_rep2,ID_51_rep1,ID_51_rep2,ID_5_rep1,ID_5_rep2,ID_7_rep1,ID_7_rep2,ID_9_rep1,ID_9_rep2
Asp_390,Asp_390,RT,727.540161,727.421021,727.380737,727.380737,727.529846,727.407715,727.571716,727.411987,727.436768,727.467773,728.149292,727.391418,727.477356,727.434021,727.402710,727.371094,727.534241,727.515320,727.375244,727.379517,727.474792,727.511658,727.479004,727.486145,727.401672,727.510437,727.386841,727.469116,727.454285,727.540588,727.280701,727.254639,727.430115,727.454773,727.437622,727.412598,727.386841,727.364990,727.392212,727.477905,727.361572,727.348206,727.310608,727.314026,727.387268,727.483215,727.316162,727.376038,727.432800,727.401917,727.346313,727.334473
Asp_390,Asp_390,peak_apex_int,407614.968750,361251.500000,745671.812500,723056.250000,805000.625000,769518.562500,845109.812500,804662.187500,672959.187500,628425.562500,1786201.375000,1757798.375000,566258.125000,551329.750000,136366.796875,119969.171875,360996.125000,353819.375000,45733.070312,40027.347656,371273.375000,370546.875000,694147.687500,688109.750000,134610.203125,122665.164062,455089.000000,456242.687500,608786.875000,614268.687500,19392.496094,14615.657227,121038.664062,117664.578125,272053.781250,276307.906250,673558.437500,691002.000000,189854.734375,176894.125000,600018.312500,597492.187500,519536.500000,518864.812500,577309.312500,559918.062500,138101.343750,130582.742188,810555.375000,771461.062500,46768.019531,37500.757812
Asp_391,Asp_390,RT,727.540161,727.421021,727.380737,727.380737,727.529846,727.407715,727.571716,727.411987,727.436768,727.467773,728.149292,727.391418,727.477356,727.434021,727.402710,727.371094,727.534241,727.515320,727.375244,727.379517,727.474792,727.511658,727.479004,727.486145,727.401672,727.510437,727.386841,727.469116,727.454285,727.540588,727.280701,727.254639,727.430115,727.454773,727.437622,727.412598,727.386841,727.364990,727.392212,727.477905,727.361572,727.348206,727.310608,727.314026,727.387268,727.483215,727.316162,727.376038,727.432800,727.401917,727.346313,727.334473
Asp_391,Asp_390,peak_apex_int,493156.437500,427523.187500,880812.562500,856871.187500,949185.250000,915762.000000,993356.937500,957037.000000,810822.312500,746818.500000,633108.937500,617268.437500,673474.687500,656127.000000,161659.484375,145916.859375,443308.625000,428802.437500,54047.863281,47750.312500,441101.187500,440588.218750,814951.000000,812490.875000,163973.953125,145725.359375,538029.187500,534688.687500,718387.437500,719360.812500,22073.251953,16832.802734,137898.312500,131354.468750,319367.375000,327992.062500,797482.062500,810555.187500,223183.906250,202312.828125,719713.000000,716141.312500,618633.500000,622417.250000,697014.375000,666508.875000,159692.953125,147965.890625,939493.437500,915062.750000,55171.992188,45514.445312
Asp_392,Asp_390,RT,727.540161,727.421021,727.380737,727.380737,727.529846,727.407715,727.571716,727.411987,727.436768,727.467773,728.149292,727.391418,727.477356,727.434021,727.402710,727.371094,727.534241,727.515320,727.375244,727.379517,727.474792,727.511658,727.479004,727.486145,727.401672,727.510437,727.386841,727.469116,727.454285,727.540588,727.280701,727.254639,727.430115,727.454773,727.437622,727.412598,727.386841,727.364990,727.392212,727.477905,727.361572,727.348206,727.310608,727.314026,727.387268,727.483215,727.316162,727.376038,727.432800,727.401917,727.346313,727.334473
Asp_392,Asp_390,peak_apex_int,233878.984375,206680.437500,420612.937500,410071.125000,457444.875000,441905.437500,484257.250000,463180.937500,391743.281250,362739.093750,291612.093750,280698.031250,326833.531250,318062.875000,78009.273438,71343.195312,212589.062500,206707.468750,26307.109375,23105.623047,213618.015625,210313.484375,396754.312500,392210.031250,78447.687500,67749.875000,254047.109375,256513.734375,346490.625000,350582.250000,11141.682617,8121.686035,64475.871094,61915.937500,150588.687500,155207.843750,377597.031250,387979.156250,105573.953125,96280.515625,346110.125000,337174.812500,288387.156250,285966.781250,322855.593750,307283.562500,75698.429688,71183.875000,460633.750000,444192.687500,25756.697266,20874.839844
Asp_393,Asp_390,RT,727.540161,727.421021,727.380737,727.380737,727.529846,727.407715,727.571716,727.411987,727.436768,727.467773,728.149292,727.391418,727.477356,727.434021,727.402710,727.371094,727.534241,727.515320,727.375244,727.379517,727.474792,727.511658,727.479004,727.486145,727.401672,727.510437,727.386841,727.469116,727.454285,727.540588,727.280701,727.254639,727.430115,727.454773,727.437622,727.412598,727.386841,727.364990,727.392212,727.477905,727.361572,727.348206,727.310608,727.314026,727.387268,727.483215,727.316162,727.376038,727.432800,727.401917,727.346313,727.334473
Asp_393,Asp_390,peak_apex_int,87596.023438,78051.648438,159652.843750,152660.359375,170275.546875,166359.796875,183023.406250,173136.265625,148043.265625,139792.562500,67317.523438,66090.289062,118812.804688,118272.562500,29544.746094,25667.523438,77509.796875,76328.515625,10355.474609,8598.068359,79722.289062,78525.578125,147009.171875,145620.890625,29546.482422,26647.019531,95072.375000,96533.117188,128743.835938,128242.601562,3694.475098,2946.275391,23401.845703,22530.892578,57512.734375,57847.417969,138899.812500,143062.328125,39292.796875,36539.000000,128843.312500,126820.742188,109068.835938,107580.132812,119020.406250,117272.031250,27876.314453,26409.548828,173553.984375,164284.750000,10059.207031,8132.073730
Asp_418,Asp_418,RT,727.554077,727.429199,727.399841,727.463440,727.509033,727.450256,727.611389,727.424072,727.483459,727.436462,727.983154,727.455750,727.501160,727.462891,727.393494,727.467896,727.544800,727.488953,727.361633,727.399536,727.510437,727.534790,727.497009,727.442017,727.448059,727.490112,727.462036,727.488647,727.483032,727.487122,727.332092,727.365540,727.518677,727.513611,727.443298,727.405334,727.360291,727.358948,727.419373,727.421814,727.405579,727.402466,727.346863,727.411926,727.397461,727.422607,727.328613,727.414734,727.491699,727.413940,727.403931,727.394470
Asp_418,Asp_418,peak_apex_int,499172.437500,438876.375000,955450.625000,914287.312500,1046573.000000,996909.312500,1093026.625000,1046275.437500,852208.812500,792841.500000,2607187.500000,2503332.000000,705128.375000,676926.437500,154043.125000,137573.500000,441898.656250,427054.875000,50836.660156,44436.835938,451075.781250,444795.250000,891078.375000,879889.937500,155454.156250,137043.859375,554209.062500,562857.250000,766541.812500,777695.250000,21036.431641,16161.725586,144350.578125,135297.156250,320740.562500,330175.437500,866288.562500,876776.500000,219806.750000,204551.406250,753699.062500,754586.187500,648324.187500,635965.937500,721538.500000,699228.375000,162955.781250,147483.046875,1043914.000000,1006507.875000,52158.859375,41900.371094
